"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Omicron BA.2.75",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-07-19,NA,NA,NA,"Jul 19, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-07-20,0.081553,0.081553,0.06071,"Jul 20, 2021<br><b>Alpha, Beta & Gamma</b> 8.16%"
"Delta",2021-07-20,0.777803,0.777803,0.874819,"Jul 20, 2021<br><b>Delta</b> 77.78%"
"Omicron BA.1",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>Omicron BQ.1</b> NaN%"
"XBB",2021-07-20,NA,NA,NA,"Jul 20, 2021<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2021-07-21,NA,0.05296,0.062451,"Jul 21, 2021<br><b>Alpha, Beta & Gamma</b> NA%"
"Delta",2021-07-21,NA,0.826412,0.867875,"Jul 21, 2021<br><b>Delta</b> NA%"
"Omicron BA.1",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.1</b> NA%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NA%"
"Omicron BA.2.12.1",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.2.12.1</b> NA%"
"Omicron BA.2.75",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.2.75</b> NA%"
"Omicron BA.4",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.4</b> NA%"
"Omicron BA.4 and BA.5",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.4 and BA.5</b> NA%"
"Omicron BA.5 (Excluding BQ.1)",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BA.5 (Excluding BQ.1)</b> NA%"
"Omicron BQ.1",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>Omicron BQ.1</b> NA%"
"XBB",2021-07-21,NA,NA,NA,"Jul 21, 2021<br><b>XBB</b> NA%"
"Alpha, Beta & Gamma",2021-07-22,0.024367,0.024367,0.058694,"Jul 22, 2021<br><b>Alpha, Beta & Gamma</b> 2.44%"
"Delta",2021-07-22,0.87502,0.87502,0.866883,"Jul 22, 2021<br><b>Delta</b> 87.5%"
"Omicron BA.1",2021-07-22,NA,NA,NA,"Jul 22, 2021<br><b>Omicron BA.1</b> NaN%"
"Omicron BA.2 (Excluding BA.2.12.1)",2021-07-22,NA,NA,NA,"Jul 22, 2021<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> NaN%"
"Omicron BA.2.12.1",2021-07-22,NA,NA,NA,"Jul 22, 2021<br><b>Omicron BA.2.12.1</b> NaN%"
"Omicron BA.2.75",2021-07-22,NA,NA,NA,"Jul 22, 2021<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2021-07-22,NA,NA,NA,"Jul 22, 2021<br><b>Omicron BA.4</b> NaN%"
